Symbol,Exp000978,Exp000979,Exp000980,Exp000977
MRPS23,7.80185869206,7.48359096473,7.87101036567,7.96374942827
MRPS15,0,0,6.07784483665,7.35823640926
WDR5,9.65627523195,8.89308591484,9.08745239531,9.48356004379
RPL4,0,7.25534509729,0,0
PSTPIP2,6.60877156303,6.28815863204,6.66993410013,6.85671548211
TADA1,8.11165077225,7.80900053944,7.7977048729,7.53687070476
AMOT,7.04137786005,0,7.63132122383,0
NUFIP1,0,0,0,6.84157838412
PRPF38B,7.49650990951,6.47808837211,6.77889149889,7.3239433609
CDK2,7.51461843777,0,7.97805149668,0
ELK1,7.38816231947,7.46352430119,7.21701890397,0
KIF2C,6.78345682092,6.64053169136,7.28630119637,7.23740604035
DYNC1LI1,6.47720530776,0,6.64900089697,6.50828633184
FOSB,0,0,5.89993385802,0
THRAP3,7.71882451134,6.98070041012,6.52139653297,7.37331412453
ZBTB17,0,6.51284126112,0,0
HSPA1B,0,0,8.42773881073,0
CDC27,8.59618500415,8.39395747759,8.27839664905,8.42690142319
DCD,8.00011448892,7.80817933845,7.81819040868,7.9873439399
KIFC1,8.16907406596,7.78197531788,8.00117666733,8.08627066826
DHX36,0,0,6.56464521472,0
